Match_id,Team1,Team2,Date,Toss_winner,Toss_decision,Player_of_match,Winner_runs,Winner_wickets
1000887,Australia,Pakistan,13-01-2017,Australia,bat,MS Wade,92,
1000889,Australia,Pakistan,15-01-2017,Australia,bat,Mohammad Hafeez,,6
1000891,Australia,Pakistan,19-01-2017,Australia,field,SPD Smith,,7
1000893,Australia,Pakistan,22-01-2017,Australia,bat,DA Warner,86,
1000895,Australia,Pakistan,26-01-2017,Australia,bat,DA Warner,57,
1001371,Australia,New Zealand,04-12-2016,Australia,bat,SPD Smith,68,
1001373,Australia,New Zealand,06-12-2016,New Zealand,field,DA Warner,116,
1001375,Australia,New Zealand,09-12-2016,Australia,bat,DA Warner,117,
1003271,Scotland,Afghanistan,04-07-2016,Scotland,field,,,
1003273,Scotland,Afghanistan,06-07-2016,Afghanistan,bat,,78,
1004253,Papua New Guinea,Namibia,21-10-2016,Namibia,bat,,,5
1004255,Papua New Guinea,Namibia,23-10-2016,Namibia,bat,,,6
1004261,Netherlands,Nepal,13-08-2016,Netherlands,field,,,7
1004269,Kenya,Hong Kong,20-11-2016,Kenya,field,Babar Hayat,39,
1004283,Scotland,Hong Kong,08-09-2016,Hong Kong,field,,,
1004285,Scotland,Hong Kong,10-09-2016,Scotland,bat,,53,
1007649,Zimbabwe,India,11-06-2016,India,field,KL Rahul,,9
1007651,Zimbabwe,India,13-06-2016,India,field,YS Chahal,,8
1007653,Zimbabwe,India,15-06-2016,Zimbabwe,bat,KL Rahul,,10
1014845,Papua New Guinea,Kenya,28-05-2016,Kenya,bat,,,6
1014847,Papua New Guinea,Kenya,30-05-2016,Papua New Guinea,bat,,21,
1019973,New Zealand,Bangladesh,26-12-2016,New Zealand,bat,TWM Latham,77,
1019975,New Zealand,Bangladesh,29-12-2016,Bangladesh,field,NT Broom,67,
1019977,New Zealand,Bangladesh,31-12-2016,Bangladesh,bat,KS Williamson,,8
1020013,New Zealand,Australia,30-01-2017,Australia,field,MP Stoinis,6,
1020031,New Zealand,South Africa,19-02-2017,South Africa,field,Q de Kock,,4
1020033,New Zealand,South Africa,22-02-2017,South Africa,field,LRPL Taylor,6,
1020035,New Zealand,South Africa,25-02-2017,South Africa,bat,AB de Villiers,159,
1020037,New Zealand,South Africa,01-03-2017,South Africa,bat,MJ Guptill,,7
1020039,New Zealand,South Africa,04-03-2017,South Africa,field,K Rabada,,6
1022347,England,Bangladesh,01-06-2017,England,field,JE Root,,8
