Team1,Team2,Toss_winner,Toss_decision,Player_of_match,Winner_runs,Winner_wickets,Matchid,Players_1,Bat_Runs_1,4s_1,6s_1,Ball Faced_1,Dots_1,Players_2,Bat_Runs_2,4s_2,6s_2,Ball Faced_2,Dots_2,Players_3,Bat_Runs_3,4s_3,6s_3,Ball Faced_3,Dots_3,Players_4,Bat_Runs_4,4s_4,6s_4,Ball Faced_4,Dots_4,Players_5,Bat_Runs_5,4s_5,6s_5,Ball Faced_5,Dots_5,Players_6,Bat_Runs_6,4s_6,6s_6,Ball Faced_6,Dots_6,Players_7,Bat_Runs_7,4s_7,6s_7,Ball Faced_7,Dots_7,Players_8,Bat_Runs_8,4s_8,6s_8,Ball Faced_8,Dots_8,Players_9,Bat_Runs_9,4s_9,6s_9,Ball Faced_9,Dots_9,Players_10,Bat_Runs_10,4s_10,6s_10,Ball Faced_10,Dots_10,Players_11,Bat_Runs_11,4s_11,6s_11,Ball Faced_11,Dots_11,Players_12,Bat_Runs_12,4s_12,6s_12,Ball Faced_12,Dots_12,Players_13,Bat_Runs_13,4s_13,6s_13,Ball Faced_13,Dots_13,Players_14,Bat_Runs_14,4s_14,6s_14,Ball Faced_14,Dots_14,Players_15,Bat_Runs_15,4s_15,6s_15,Ball Faced_15,Dots_15,Players_16,Bat_Runs_16,4s_16,6s_16,Ball Faced_16,Dots_16,Players_17,Bat_Runs_17,4s_17,6s_17,Ball Faced_17,Dots_17,Players_18,Bat_Runs_18,4s_18,6s_18,Ball Faced_18,Dots_18,Players_19,Bat_Runs_19,4s_19,6s_19,Ball Faced_19,Dots_19,Players_20,Bat_Runs_20,4s_20,6s_20,Ball Faced_20,Dots_20,Players_21,Bat_Runs_21,4s_21,6s_21,Ball Faced_21,Dots_21,Players_22,Bat_Runs_22,4s_22,6s_22,Ball Faced_22,Dots_22,Player1_StrikeRate,Player2_StrikeRate,Player3_StrikeRate,Player4_StrikeRate,Player5_StrikeRate,Player6_StrikeRate,Player7_StrikeRate,Player8_StrikeRate,Player9_StrikeRate,Player10_StrikeRate,Player11_StrikeRate,Player12_StrikeRate,Player13_StrikeRate,Player14_StrikeRate,Player15_StrikeRate,Player16_StrikeRate,Player17_StrikeRate,Player18_StrikeRate,Player19_StrikeRate,Player20_StrikeRate,Player21_StrikeRate,Player22_StrikeRate
Australia,Pakistan,Australia,bat,MS Wade,92,0,1004261,G Malla,11,2,0,12,8,AK Mandal,20,1,0,39,30,S Vesawkar,14,0,0,70,63,P Khadka,0,0,0,1,1,Sagar Pun,7,0,0,31,26,R Rijal,3,0,0,2,1,B Bhandari,9,1,0,19,14,Sompal Kami,12,1,0,28,21,B Regmi,7,1,0,21,17,Karan KC,0,0,0,2,2,S Lamichhane,1,0,0,3,2,SJ Myburgh,33,5,0,39,26,MJG Rippon,6,0,0,9,5,W Barresi,37,5,0,32,16,BN Cooper,6,0,0,13,9,RE van der Merwe,4,0,0,6,3,T van der Gugten,0,0,0,0,0,Mudassar Bukhari,0,0,0,0,0,Ahsan Malik,0,0,0,0,0,PA van Meekeren,0,0,0,0,0,No Player,0,0,0,0,0,No Player,0,0,0,0,0,158.3333333,48.71794872,27.14285714,1900,61.29032258,950,100,67.85714286,90.47619048,950,633.3333333,48.71794872,211.1111111,59.375,146.1538462,316.6666667,0,0,0,0,0,0
Australia,Pakistan,Australia,bat,Mohammad Hafeez,0,6,1004269,C Carter,41,4,1,62,41,KD Shah,1,0,0,3,2,Babar Hayat,78,6,4,68,31,Nizakat Khan,20,2,1,12,4,Anshuman Rath,3,0,0,5,3,Tanwir Afzal,0,0,0,0,0,Nadeem Ahmed,0,0,0,0,0,Aizaz Khan,0,0,0,0,0,Ehsan Khan,0,0,0,0,0,Tanveer Ahmed,0,0,0,0,0,No Player,0,0,0,0,0,IA Karim,33,3,0,40,19,AA Obanda,39,2,1,35,17,DM Gondaria,8,0,0,12,5,RR Patel,0,0,0,1,1,CO Obuya,17,0,1,20,10,NK Patel,0,0,0,4,4,Gurdeep Singh,13,2,0,10,4,NN Odhiambo,1,0,0,3,2,SO Ngoche,0,0,0,1,1,NM Odhiambo,11,1,1,6,3,LN Oluoch,1,0,0,2,1,101.6129032,2100,92.64705882,525,1260,0,0,0,0,0,0,157.5,180,525,6300,315,1575,630,2100,6300,1050,3150
Australia,Pakistan,Australia,field,SPD Smith,0,7,1004283,KJ Coetzer,53,6,2,29,9,CD Wallace,14,1,1,8,4,CS MacLeod,28,2,1,17,2,MH Cross,1,0,0,5,4,RD Berrington,4,0,0,7,3,PL Mommsen,12,1,0,16,8,CD de Lange,26,2,0,26,10,SM Sharif,12,2,0,12,6,CB Sole,0,0,0,0,0,AC Evans,0,0,0,0,0,MRJ Watt,0,0,0,0,0,Nizakat Khan,43,6,2,24,11,Aizaz Khan,12,1,0,18,11,Babar Hayat,26,3,0,25,15,Anshuman Rath,32,4,0,27,12,Ehsan Khan,2,0,0,3,1,Tanwir Afzal,7,1,0,6,3,Nadeem Ahmed,0,0,0,0,0,Tanveer Ahmed,0,0,0,0,0,No Player,0,0,0,0,0,No Player,0,0,0,0,0,No Player,0,0,0,0,0,306.8965517,1112.5,523.5294118,1780,1271.428571,556.25,342.3076923,741.6666667,0,0,0,370.8333333,494.4444444,356,329.6296296,2966.666667,1483.333333,0,0,0,0,0
Australia,Pakistan,Australia,bat,DA Warner,86,0,1004285,KJ Coetzer,48,8,2,41,28,MH Cross,13,1,0,22,16,CS MacLeod,102,8,1,106,50,MA Leask,12,1,0,23,15,RD Berrington,10,0,0,29,21,CD de Lange,11,1,0,18,13,CD Wallace,52,3,2,51,26,SM Sharif,2,0,0,2,1,MRJ Watt,1,0,0,2,1,AC Evans,0,0,0,0,0,CB Sole,0,0,0,0,0,C Carter,15,2,0,24,18,Aizaz Khan,25,4,0,40,31,Babar Hayat,56,8,1,66,43,Nizakat Khan,40,2,1,56,28,Anshuman Rath,13,0,1,20,13,Ehsan Khan,7,0,0,16,12,Shahid Wasif,4,0,0,8,5,Waqas Khan,8,0,0,17,11,Tanwir Afzal,20,3,0,16,5,Nadeem Ahmed,14,2,0,11,4,Tanveer Ahmed,0,0,0,1,1,224.3902439,418.1818182,86.79245283,400,317.2413793,511.1111111,180.3921569,4600,4600,0,0,383.3333333,230,139.3939394,164.2857143,460,575,1150,541.1764706,575,836.3636364,9200
Australia,Pakistan,Australia,bat,DA Warner,57,0,1007649,PJ Moor,3,0,0,5,3,CJ Chibhabha,13,0,0,41,38,H Masakadza,14,2,0,21,15,CR Ervine,21,1,0,42,33,V Sibanda,5,0,0,20,16,Sikandar Raza,23,2,0,54,38,E Chigumbura,41,1,0,64,33,R Mutumbami,15,2,0,27,19,AG Cremer,8,1,0,11,6,TL Chatara,4,0,0,10,6,T Muzarabani,1,0,0,1,0,KL Rahul,100,7,1,115,52,KK Nair,7,1,0,20,17,AT Rayudu,62,5,0,119,78,DS Kulkarni,0,0,0,0,0,BB Sran,0,0,0,0,0,JJ Bumrah,0,0,0,0,0,AR Patel,0,0,0,0,0,YS Chahal,0,0,0,0,0,No Player,0,0,0,0,0,No Player,0,0,0,0,0,No Player,0,0,0,0,0,60,7.317073171,14.28571429,7.142857143,15,5.555555556,4.6875,11.11111111,27.27272727,30,300,2.608695652,15,2.521008403,0,0,0,0,0,0,0,0
Australia,New Zealand,Australia,bat,SPD Smith,68,0,1007651,H Masakadza,9,1,0,17,14,CJ Chibhabha,21,1,0,24,16,PJ Moor,1,0,0,9,8,V Sibanda,53,6,1,67,45,Sikandar Raza,16,1,0,41,31,E Chigumbura,0,0,0,1,1,R Mutumbami,2,0,0,14,12,AG Cremer,7,0,0,14,10,TL Chatara,2,0,0,6,5,T Muzarabani,5,1,0,10,8,No Player,0,0,0,0,0,KL Rahul,33,4,0,50,35,KK Nair,39,5,0,65,48,AT Rayudu,41,7,0,44,28,MK Pandey,4,1,0,1,0,BB Sran,0,0,0,0,0,DS Kulkarni,0,0,0,0,0,JJ Bumrah,0,0,0,0,0,AR Patel,0,0,0,0,0,YS Chahal,0,0,0,0,0,No Player,0,0,0,0,0,No Player,0,0,0,0,0,76.47058824,54.16666667,144.4444444,19.40298507,31.70731707,1300,92.85714286,92.85714286,216.6666667,130,0,26,20,29.54545455,1300,0,0,0,0,0,0,0
Australia,New Zealand,New Zealand,field,DA Warner,116,0,1007653,H Masakadza,8,1,0,18,17,CJ Chibhabha,27,3,0,64,52,V Sibanda,38,2,1,70,49,T Maruma,17,1,0,29,16,MN Waller,8,0,0,15,7,E Chigumbura,0,0,0,1,1,AG Cremer,0,0,0,1,1,N Madziva,10,0,0,26,19,R Mutumbami,4,1,0,3,2,T Mupariwa,1,0,0,8,8,DT Tiripano,2,0,0,16,15,KL Rahul,63,4,2,70,36,FY Fazal,55,7,1,59,40,BB Sran,0,0,0,0,0,DS Kulkarni,0,0,0,0,0,JJ Bumrah,0,0,0,0,0,AR Patel,0,0,0,0,0,YS Chahal,0,0,0,0,0,No Player,0,0,0,0,0,No Player,0,0,0,0,0,No Player,0,0,0,0,0,No Player,0,0,0,0,0,66.66666667,18.75,17.14285714,41.37931034,80,1200,1200,46.15384615,400,150,75,17.14285714,20.33898305,0,0,0,0,0,0,0,0,0
Australia,New Zealand,Australia,bat,DA Warner,117,0,1014845,DM Gondaria,7,1,0,26,22,IA Karim,73,7,1,115,74,MA Ouma,8,1,0,13,12,CO Obuya,2,0,0,9,7,RR Patel,39,5,1,44,28,Gurdeep Singh,33,4,0,31,15,NM Odhiambo,14,2,0,16,10,NN Odhiambo,1,0,0,6,5,SO Ngoche,5,0,0,11,7,LN Oluoch,0,0,0,7,7,E Otieno,2,0,0,4,3,L Siaka,24,1,1,17,8,VV Morea,53,3,2,65,40,A Vala,69,8,0,68,28,S Bau,2,0,0,6,4,MD Dai,27,3,0,44,29,CJA Amini,4,1,0,4,3,CA Soper,0,0,0,0,0,N Vanua,0,0,0,0,0,A Nao,0,0,0,0,0,JB Reva,0,0,0,0,0,No Player,0,0,0,0,0,42.30769231,9.565217391,84.61538462,122.2222222,25,35.48387097,68.75,183.3333333,100,157.1428571,275,64.70588235,16.92307692,16.17647059,183.3333333,25,275,0,0,0,0,0
Scotland,Afghanistan,Scotland,field,No Player,0,0,1014847,L Siaka,0,0,0,6,9,VV Morea,102,8,1,142,87,A Vala,13,1,0,16,9,S Bau,66,9,2,76,58,MD Dai,8,0,0,18,12,CJA Amini,0,0,0,1,1,JNT Vare,2,0,0,6,5,JB Reva,43,4,2,33,16,CA Soper,0,0,0,0,0,N Vanua,0,0,0,0,0,N Pokana,0,0,0,0,0,Gurdeep Singh,27,6,0,17,12,IA Karim,4,0,0,13,10,RN Patel,95,9,0,115,58,RR Patel,33,3,0,64,45,CO Obuya,38,2,0,57,30,MA Ouma,4,0,0,6,3,SO Ngoche,6,0,0,5,1,NN Odhiambo,5,1,0,3,1,LN Oluoch,2,0,0,2,1,EB Ringera,0,0,0,0,0,E Otieno,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,0
Scotland,Afghanistan,Afghanistan,bat,No Player,78,0,1019973,MJ Guptill,15,1,1,17,12,TWM Latham,137,7,4,118,42,KS Williamson,31,5,0,36,22,NT Broom,22,0,0,32,17,JDS Neesham,12,2,0,13,7,C Munro,87,8,4,60,23,L Ronchi,5,0,0,6,2,MJ Santner,8,0,0,7,2,TG Southee,7,1,0,3,2,TA Boult,0,0,0,0,0,LH Ferguson,0,0,0,0,0,Tamim Iqbal,38,5,0,57,42,Imrul Kayes,16,2,1,21,18,Soumya Sarkar,1,0,0,8,7,Mahmudullah,0,0,0,3,3,Shakib Al Hasan,59,5,2,53,28,Mushfiqur Rahim,42,3,0,46,27,Sabbir Rahman,16,0,1,11,3,Mosaddek Hossain,50,5,3,44,28,Mashrafe Mortaza,14,3,0,10,6,Taskin Ahmed,2,0,0,11,9,Mustafizur Rahman,0,0,0,1,1,147.0588235,21.18644068,69.44444444,78.125,192.3076923,41.66666667,416.6666667,357.1428571,833.3333333,0,0,43.85964912,119.047619,312.5,833.3333333,47.16981132,54.34782609,227.2727273,56.81818182,250,227.2727273,2500
